รายงานโฆษณา CPC ทั้งหมด - Shopee ประเทศไทย
User Name,torquetorque
ชื่อร้านค้า,TorqueTorque
Shop ID,1623237230
รายงานถูกสร้างเมื่อ,16/04/2026 10:33
ระยะเวลา,01/04/2026 - 16/04/2026

ลำดับ,ชื่อโฆษณา,สถานะ,ประเภทโฆษณา,รหัสสินค้า,ปรับแต่ง,การตั้งราคาประมูล,ตำแหน่ง,วันที่เริ่มต้น,วันที่สิ้นสุด,การมองเห็น,จำนวนคลิก,อัตราการคลิก (CTR),การสั่งซื้อ,การสั่งซื้อโดยตรง,อัตราการสั่งซื้อ,อัตราการสั่งซื้อโดยตรง,ราคาต่อการสั่งซื้อ,ราคาต่อการสั่งซื้อโดยตรง,สินค้าที่ขายแล้ว,สินค้าที่ขายแล้วโดยตรง,ยอดขาย,ยอดขายโดยตรง,ค่าโฆษณา,ยอดขาย/รายจ่าย (ROAS),ผลตอบแทนจากการลงทุนโดยตรง (Direct ROAS),ACOS,อัตราส่วนค่าใช้จ่ายต่อรายได้โดยตรง (Direct ACOS),การมองเห็นสินค้า,จำนวนคลิกสินค้า,อัตราการคลิกสินค้า (CTR),Voucher Amount,Vouchered Sales
1,หมวกกันน็อคทัวร์ริ่งเต็มใบ Soman M10 MX Rally แว่น 2 ชั้น ทรงทัวร์ริ่ง น้ำหนักเบา รองรับบลูทูธ,กำลังดำเนินการ,โฆษณาสินค้า,42267512972,-,โฆษณาเพิ่มยอดขายแบบตั้งค่า ROAS เอง,ทั้งหมด,26/09/2025 00:00:00,ไม่จำกัด,24681,1137,4.61%,10,9,0.88%,0.79%,116.09,128.99,10,9,25685.00,23685.00,1160.87,22.13,20.40,4.52%,4.90%,-,-,-,423.00,10400.00
2,Soman 955 หมวกกันน็อคเต็มใบ พร้อมแว่น 2 ชั้น ช่องติดตั้ง Bluetooth มาตรฐาน DOT/ECE (สีลาย),กำลังดำเนินการ,โฆษณาสินค้า,42667892832,-,โฆษณาเพิ่มยอดขายแบบตั้งค่า ROAS เอง,ทั้งหมด,24/09/2025 00:00:00,ไม่จำกัด,24016,644,2.68%,5,4,0.78%,0.62%,225.43,281.79,5,4,13400.00,10800.00,1127.17,11.89,9.58,8.41%,10.44%,-,-,-,375.00,7900.00
3,SOMAN F2 หมวกกันน็อคเต็มใบ-เปิดคาง โฉมใหม่ ดีไซน์สปอร์ตโฉบเฉี่ยว แถมฟรีชิวปรอท!,กำลังดำเนินการ,โฆษณาสินค้า,25046826550,-,โฆษณาเพิ่มยอดขายแบบตั้งค่า ROAS เอง,ทั้งหมด,24/09/2025 00:00:00,ไม่จำกัด,19946,927,4.65%,1,1,0.11%,0.11%,597.16,597.16,2,2,5200.00,5200.00,597.16,8.71,8.71,11.48%,11.48%,-,-,-,0.00,0.00
4,Soman H9 หมวกกันน็อคเต็มใบ สไตล์วินเทจคลาสสิค Retro Style น้ำหนักเบา ดีไซน์เท่ ใส่สบาย,กำลังดำเนินการ,โฆษณาสินค้า,40918073860,-,โฆษณาเพิ่มยอดขายแบบตั้งค่า ROAS เอง,ทั้งหมด,24/09/2025 00:00:00,ไม่จำกัด,19669,618,3.14%,7,5,1.13%,0.81%,106.09,148.52,8,5,18634.00,13680.00,742.61,25.09,18.42,3.99%,5.43%,-,-,-,89.00,2500.00
5,SHAD TR41 กล่องท้ายมอเตอร์ไซค์กันน้ำ 41 ลิตร — แข็งแรง เบา ฝาอะลูมิเนียม,กำลังดำเนินการ,โฆษณาสินค้า,27041036177,-,โฆษณาเพิ่มยอดขายแบบตั้งค่า ROAS เอง,ทั้งหมด,24/09/2025 00:00:00,ไม่จำกัด,13390,692,5.17%,8,7,1.16%,1.01%,166.11,189.84,8,7,29650.00,26050.00,1328.87,22.31,19.60,4.48%,5.10%,-,-,-,0.00,0.00
6,SOMAN 955 หมวกกันน็อคเต็มใบ ลายใหม่ 2026 แว่น 2 ชั้น ช่อง Bluetooth มาตรฐาน DOT/ECE,กำลังดำเนินการ,โฆษณาสินค้า,49204634096,-,โฆษณาเพิ่มยอดขายแบบตั้งค่า ROAS เอง,ทั้งหมด,20/02/2026 00:00:00,ไม่จำกัด,12707,392,3.08%,10,4,2.55%,1.02%,44.17,110.42,10,4,21320.00,10800.00,441.68,48.27,24.45,2.07%,4.09%,-,-,-,71.00,3000.00
7,SOMAN F1 หมวกกันน็อคเต็มใบ | น้ำหนักเบา เก็บเสียงดี ใส่สบาย | แถมฟรีบลูทูธ + กระเป๋าผ้า,หยุดชั่วคราว,โฆษณาสินค้า,49856030179,-,"ขั้นตอนที่ 1: โฆษณาเพิ่มยอดขายแบบตั้งราคาประมูลอัตโนมัติ, ขั้นตอนที่ 2: GMV Max แบบกำหนดค่า ROAS เอง",ทั้งหมด,20/02/2026 00:00:00,ไม่จำกัด,1508,29,1.92%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,32.81,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
